2019-09-24 11:21:27,733 [Worker-14: Enabling Maven Dependency Management] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.green:MariaGuestbook:0.0.1-SNAPSHOT @ D:\Java\Study\Java_Convergence_New_2\MariaGuestbook\pom.xml.
2019-09-24 11:21:35,401 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-24 11:21:35,409 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Study\Java_Convergence_New_2\MariaGuestbook\src\main\resources
2019-09-24 11:21:35,412 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-24 11:21:35,420 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Study\Java_Convergence_New_2\MariaGuestbook\src\test\resources
2019-09-24 11:21:35,471 [Worker-14: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MariaGuestbook/src
2019-09-24 11:21:35,473 [Worker-14: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /MariaGuestbook/src/test/java because it overlaps with /MariaGuestbook/src
2019-09-24 11:21:36,949 [Worker-14: Enabling Maven Dependency Management] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-09-24 11:21:37,878 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.green:MariaGuestbook:0.0.1-SNAPSHOT @ D:\Java\Study\Java_Convergence_New_2\MariaGuestbook\pom.xml.
2019-09-24 11:21:38,972 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-24 11:21:38,983 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Study\Java_Convergence_New_2\MariaGuestbook\src\main\resources
2019-09-24 11:21:38,986 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-24 11:21:38,996 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Java\Study\Java_Convergence_New_2\MariaGuestbook\src\test\resources
2019-09-24 11:21:38,997 [Worker-0: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of MariaGuestbook
2019-09-24 11:21:38,998 [Worker-0: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for MariaGuestbook
2019-09-24 11:21:39,035 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
